Pas Index,Fibonacci,Expression,Choices
20,6765,"+1 0*19 -171 +969 0*3876 -11628 0*27132 0*50388 -75582 +92378 0*92378 0*75582 0*50388 0*27132 0*11628 0*3876 +969 -171 0*19 0*1 ","+ 0 - + 0 - 0 0 - + 0 0 0 0 0 0 + - 0 0 "
21,10946,"-1 -20 +190 -1140 -4845 0*15504 0*38760 0*77520 0*125970 -167960 +184756 0*167960 0*125970 0*77520 0*38760 0*15504 0*4845 0*1140 0*190 -20 -1 ","- - + - - 0 0 0 0 - + 0 0 0 0 0 0 0 0 - - "
22,17711,"-1 -21 +210 -1330 -5985 +20349 -54264 0*116280 0*203490 -293930 +352716 0*352716 0*293930 0*203490 0*116280 0*54264 0*20349 0*5985 0*1330 0*210 -21 -1 ","- - + - - + - 0 0 - + 0 0 0 0 0 0 0 0 0 - - "
23,28657,"0*1 -22 +231 +1540 -7315 -26334 0*74613 0*170544 0*319770 0*497420 -646646 +705432 0*646646 0*497420 0*319770 0*170544 0*74613 0*26334 0*7315 +1540 +231 0*22 0*1 ","0 - + + - - 0 0 0 0 - + 0 0 0 0 0 0 0 + + 0 0 "
24,46368,"0*1 +23 +253 -1771 +8855 -33649 +100947 -245157 0*490314 0*817190 -1144066 +1352078 0*1352078 0*1144066 0*817190 0*490314 0*245157 0*100947 0*33649 +8855 0*1771 0*253 0*23 0*1 ","0 + + - + - + - 0 0 - + 0 0 0 0 0 0 0 + 0 0 0 0 "
25,75025,"+1 +24 -276 +2024 0*10626 0*42504 -134596 0*346104 0*735471 0*1307504 0*1961256 -2496144 +2704156 0*2496144 0*1961256 0*1307504 0*735471 0*346104 0*134596 0*42504 0*10626 0*2024 -276 +24 +1 ","+ + - + 0 0 - 0 0 0 0 - + 0 0 0 0 0 0 0 0 0 - + + "
26,121393,"+1 +25 0*300 +2300 -12650 0*53130 0*177100 +480700 -1081575 0*2042975 0*3268760 -4457400 +5200300 0*5200300 0*4457400 0*3268760 0*2042975 0*1081575 0*480700 0*177100 0*53130 -12650 +2300 0*300 +25 +1 ","+ + 0 + - 0 0 + - 0 0 - + 0 0 0 0 0 0 0 0 - + 0 + + "
27,196418,"-1 -26 0*325 -2600 -14950 +65780 0*230230 -657800 0*1562275 0*3124550 0*5311735 0*7726160 -9657700 +10400600 0*9657700 0*7726160 0*5311735 0*3124550 0*1562275 0*657800 0*230230 +65780 0*14950 -2600 0*325 -26 -1 ","- - 0 - - + 0 - 0 0 0 0 - + 0 0 0 0 0 0 0 + 0 - 0 - - "
28,317811,"+1 +27 0*351 -2925 +17550 +80730 0*296010 0*888030 +2220075 -4686825 0*8436285 0*13037895 -17383860 +20058300 0*20058300 0*17383860 0*13037895 0*8436285 0*4686825 0*2220075 0*888030 0*296010 0*80730 +17550 -2925 0*351 +27 +1 ","+ + 0 - + + 0 0 + - 0 0 - + 0 0 0 0 0 0 0 0 0 + - 0 + + "
29,514229,"+1 +28 +378 0*3276 +20475 +98280 -376740 +1184040 -3108105 0*6906900 0*13123110 0*21474180 0*30421755 -37442160 +40116600 0*37442160 0*30421755 0*21474180 0*13123110 0*6906900 0*3108105 0*1184040 0*376740 0*98280 +20475 0*3276 +378 +28 +1 ","+ + + 0 + + - + - 0 0 0 0 - + 0 0 0 0 0 0 0 0 0 + 0 + + + "
30,832040,"-1 -29 -406 -3654 -23751 +118755 -475020 +1560780 0*4292145 -10015005 0*20030010 0*34597290 0*51895935 -67863915 +77558760 0*77558760 0*67863915 0*51895935 0*34597290 0*20030010 0*10015005 0*4292145 0*1560780 0*475020 0*118755 -23751 0*3654 -406 -29 -1 ","- - - - - + - + 0 - 0 0 0 - + 0 0 0 0 0 0 0 0 0 0 - 0 - - - "
